Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"2,358,000","1,076.4","2,191",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,580",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,366,000","1,076.4","2,198",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,660",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,851,000","1,388.56","2,053",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"22,101",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,774,000","1,377.79","2,013",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,672",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,792,000","1,377.79","2,026",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,813",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,756,000","1,377.79","2,000",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,531",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"3,176,000","1,582.31","2,007",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,605",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,374,000","1,076.4","2,205",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,740",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,168,000",484.38,"2,411",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"25,956",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"3,108,000","1,582.31","1,964",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,143",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"3,186,000","1,582.31","2,014",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,673",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,350,000","1,076.4","2,183",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,904,000",882.65,"2,157",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,220",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,328,000",516.67,"2,570",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"27,667",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,256,000",484.38,"2,593",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"27,911",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,886,000","1,410.08","2,047",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"22,031",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,958,000","1,410.08","2,098",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"22,580",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,806,000","1,388.56","2,021",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"21,752",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
1953,"1,888,000",893.41,"2,113",May-22,TESSENSOHN ROAD,New Sale,Strata,83,"22,747",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,362,000","1,097.93","2,151",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,157",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,792,000","1,377.79","2,026",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,813",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"3,028,000","1,582.31","1,914",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"20,599",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,350,000","1,076.4","2,183",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,563,000",710.42,"2,200",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,682",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,314,000","1,076.4","2,150",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,140",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,573,000",710.42,"2,214",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,833",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,274,000",516.67,"2,466",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"26,542",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,525,000",645.84,"2,361",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,417",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,380,000",688.9,"2,003",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,64,"21,563",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,200,000",484.38,"2,477",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"26,667",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,559,000",678.13,"2,299",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"24,746",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,520,000",710.42,"2,140",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,030",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,230,000","1,076.4","2,072",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,300",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,164,000","1,097.93","1,971",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"21,216",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,348,000",645.84,"2,087",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"22,467",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,238,000","1,076.4","2,079",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,380",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,172,000","1,097.93","1,978",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"21,294",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,365,000",645.84,"2,114",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"22,750",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,224,000","1,097.93","2,026",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"21,804",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,254,000","1,076.4","2,094",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,540",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,232,000","1,097.93","2,033",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"21,882",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,248,000","1,097.93","2,047",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,039",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,270,000","1,076.4","2,109",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,700",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,248,000","1,097.93","2,047",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,039",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"3,088,000","1,582.31","1,952",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,007",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
